09:32:13.747 [main] INFO  c.e.journalApp.JournalAppApplication ---> Starting JournalAppApplication using Java 23.0.1 with PID 18276 (C:\Users\SOUMADEEP DAS\OneDrive\Dokumen\Spring_boot\journalApp\journalApp\target\classes started by SOUMADEEP DAS in C:\Users\SOUMADEEP DAS\OneDrive\Dokumen\Spring_boot)
09:32:16.760 [cluster-ClusterId{value='67d10747a5fe7c48cd4d59c7', description='Cluster0'}-cluster0-shard-00-02.zaaeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster ---> Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.zaaeb.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=392282100, minRoundTripTimeNanos=0, setName='atlas-6rrpva-shard-0', canonicalAddress=cluster0-shard-00-02.zaaeb.mongodb.net:27017, hosts=[cluster0-shard-00-01.zaaeb.mongodb.net:27017, cluster0-shard-00-02.zaaeb.mongodb.net:27017, cluster0-shard-00-00.zaaeb.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zaaeb.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=260, topologyVersion=TopologyVersion{processId=67c3300fc542932965b1e847, counter=3}, lastWriteDate=Wed Mar 12 09:32:16 IST 2025, lastUpdateTimeNanos=174964692800800}
09:32:16.760 [cluster-ClusterId{value='67d10747a5fe7c48cd4d59c7', description='Cluster0'}-cluster0-shard-00-00.zaaeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster ---> Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.zaaeb.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=392915800, minRoundTripTimeNanos=0, setName='atlas-6rrpva-shard-0', canonicalAddress=cluster0-shard-00-00.zaaeb.mongodb.net:27017, hosts=[cluster0-shard-00-01.zaaeb.mongodb.net:27017, cluster0-shard-00-02.zaaeb.mongodb.net:27017, cluster0-shard-00-00.zaaeb.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zaaeb.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=260, topologyVersion=TopologyVersion{processId=67c32f96268c1a9d5cc735cd, counter=4}, lastWriteDate=Wed Mar 12 09:32:16 IST 2025, lastUpdateTimeNanos=174964692800800}
09:32:16.760 [cluster-ClusterId{value='67d10747a5fe7c48cd4d59c7', description='Cluster0'}-cluster0-shard-00-01.zaaeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster ---> Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.zaaeb.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=392826000, minRoundTripTimeNanos=0, setName='atlas-6rrpva-shard-0', canonicalAddress=cluster0-shard-00-01.zaaeb.mongodb.net:27017, hosts=[cluster0-shard-00-01.zaaeb.mongodb.net:27017, cluster0-shard-00-02.zaaeb.mongodb.net:27017, cluster0-shard-00-00.zaaeb.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zaaeb.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000e8, setVersion=260, topologyVersion=TopologyVersion{processId=67c32fd35086ca60e935a267, counter=6}, lastWriteDate=Wed Mar 12 09:32:16 IST 2025, lastUpdateTimeNanos=174964692800900}
09:32:16.763 [cluster-ClusterId{value='67d10747a5fe7c48cd4d59c7', description='Cluster0'}-cluster0-shard-00-01.zaaeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster ---> Discovered replica set primary cluster0-shard-00-01.zaaeb.mongodb.net:27017 with max election id 7fffffff00000000000000e8 and max set version 260
09:32:18.268 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer ---> Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
09:32:18.871 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean ---> Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
09:32:19.073 [main] INFO  o.a.coyote.http11.Http11NioProtocol ---> Starting ProtocolHandler ["http-nio-8080"]
09:32:19.088 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ---> Tomcat started on port 8080 (http) with context path '/journalApplication'
09:32:19.099 [main] INFO  c.e.journalApp.JournalAppApplication ---> Started JournalAppApplication in 5.716 seconds (process running for 6.257)
09:32:38.769 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown ---> Commencing graceful shutdown. Waiting for active requests to complete
09:32:38.778 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown ---> Graceful shutdown complete
